1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
42,188,1665,619,180,1182,587,1889,3108,1289,353,3685,5262,1231,201,463,0,0,0,0,0,0
41,179,1639,614,177,1178,577,1912,3078,1256,357,3689,5262,1234,191,471,0,0,0,0,0,0
42,183,1642,613,173,1178,575,1899,3062,1247,355,3681,5270,1229,184,464,0,0,0,0,0,0
42,177,1637,614,174,1175,597,1886,3071,1238,348,3661,5248,1225,183,463,0,0,0,0,0,0
39,169,1621,601,170,1122,559,1840,3044,1187,336,3613,5229,1208,177,452,0,0,0,0,0,0
35,154,1548,558,161,1039,436,1704,2823,1074,318,3534,5196,1184,167,440,0,0,0,0,0,0
35,149,1508,540,155,1002,388,1656,2748,1037,309,3522,5185,1170,163,430,0,0,0,0,0,0
35,135,1469,517,149,935,334,1569,2638,950,293,3469,5159,1152,145,422,0,0,0,0,0,0
31,125,1420,496,145,876,271,1470,2503,854,284,3404,5126,1137,137,414,0,0,0,0,0,0
24,103,1302,438,131,737,104,1270,2215,675,252,3294,5068,1094,126,401,0,0,0,0,0,0
23,96,1262,421,128,684,56,1213,2102,615,247,3250,5053,1085,122,399,0,0,0,0,0,0
23,98,1259,416,128,677,54,1206,2089,615,245,3245,5052,1080,119,397,0,0,0,0,0,0
24,105,1273,429,128,696,69,1233,2127,649,252,3284,5071,1091,123,401,0,0,0,0,0,0
25,111,1299,440,131,716,83,1262,2170,687,259,3323,5090,1101,129,406,0,0,0,0,0,0
27,116,1322,448,133,737,95,1287,2206,719,265,3355,5104,1114,134,410,0,0,0,0,0,0
28,126,1351,468,135,762,120,1330,2266,751,271,3389,5120,1124,143,417,0,0,0,0,0,0
33,160,1514,542,156,954,346,1610,2658,1016,308,3536,5204,1176,161,444,0,0,0,0,0,0
41,194,1701,647,178,1186,596,1938,3127,1334,360,3752,5316,1246,191,471,0,0,0,0,0,0
47,224,1828,710,194,1325,719,2130,3414,1545,398,3931,5414,1288,215,489,0,0,0,0,0,0
47,231,1857,729,197,1348,702,2160,3452,1568,390,3990,5452,1307,229,498,0,0,0,0,0,0
